problem,addition,subtraction,multiplication,division
"The aviary has 3 species of eagles on show that day. They have 20 bald eagles, 15 harpy eagles, and 30 crowned eagles. How many eagles are on display that day?",1,0,0,0
"Penny counted a total of 55 tree frogs, 10 poison frogs and 13 wood frogs at the zoo. How many frogs was Penny able to count?",1,0,0,0
"At the zoo, Penny’s teacher pointed out 22 crocodiles, 23 alligators and 5 vipers. How many dangerous animals did Penny's teacher point out in total?",1,0,0,0
"Penny, who likes butterflies and ants, took over 100 pictures of the different species. She was able to capture 60 species of butterflies, 15 species of ants and 20 species of other insects. How many species of insects did Penny capture?",1,0,0,0
"Penny identified 35 species of sharks, 15 species of eels and 5 different species of whales. How many species was Penny able to identify?",1,0,0,0
"If Marcus was able to gather 25 milk bottles, and John was able to gather 20 milk bottles, how many milk bottles do they have available for recycling?",1,0,0,0
"Chris, tasked to lead the newspaper collection, was able to obtain 42 newspapers and 10 magazines from their neighborhood. If his sister Lily helped him and was able to get 23 more newspapers from another block, how many newspapers were they able to collect together?",1,0,0,0
"If Andy was able to pick up 34 wrappers around the village dumpster and his best friend Max was able to collect 15, how many wrappers were gathered in total?",1,0,0,0
"If Marcus made 26 pen holders from the milk bottles for a charity project and Annie was able to make 37, how many pen holders were made?",1,0,0,0
"If the group was able to make 65 recycled material products from what they gathered and the teachers were able to make 28, write an equation to show how many recycled products they will be able to sell at the fair.",1,0,0,0
"Working overtime, Robyn sold 47 packs of cookies while Lucy sold 29. How many packs of cookies were they able to sell that day?",1,0,0,0
Lucy sold 34 cookies on her first round and 27 on her second round. How many cookies were sold by Lucy?,1,0,0,0
Robyn visited over 100 houses to sell cookies. That day Robyn sold 55 packs of cookies while Lucy sold 43. How many packs were they able to sell that day?,1,0,0,0
"If Robyn and Lucy sold 23 boxes of cookies in one village and 28 on the other, how many boxes were they able to sell?",1,0,0,0
Lucy sold 19 packs and Robyn sold 16. Write an equation showing how many packs they sold on their last day.,1,0,0,0
"Mayor Fauna, leader of the town of Flora, donated 27 oak tree seedlings and 16 seedlings of holly. How many seedlings did he donate altogether?",1,0,0,0
"Mr. Fortree, a businessman also gave seedlings for the tree planting activity. If he gave 14 seedlings of cedar and 38 seedlings of pine, how many seedlings did he give in total?",1,0,0,0
14 students from Flora Middle School were asked to participate in the event. They planted 47 apple trees and 27 orange trees in the forest near their school. How many trees in total did the students plant?,1,0,0,0
They planted 75 redwood trees and 25 cypress trees to replace the trees that were destroyed during a recent forest fire. How many trees did the rangers plant?,1,0,0,0
"The students planted 15 types of trees in the natural park, 20 types of trees in the neighboring forest and 10 species of trees all around different locations in town. Write an equation showing how many types of trees were planted by the students.",1,0,0,0
"If Hazel caught 24 trout and her dad caught 27, how many trout did they catch in total?",1,0,0,0
"In a contest, Hazel caught 48 different fish while her father caught 46. How many fish did they catch?",1,0,0,0
"During their fishing trip, Sam caught a total of 30 pikes, 40 sturgeons and 75 herrings. How many fish did Sam catch?",1,0,0,0
"Cameron and Anna hiked 12 miles around Lake Superior. They were able to catch 15 catfish, 20 sturgeons, 25 pikes and 10 eels. How many fish were caught from Lake Superior?",1,0,0,0
"If Tamara took 23 fish from Lake Ontario and Erie, 30 fish from Lake Huron and Michigan and 44 from Lake Superior, how many fish in total will she take home?",1,0,0,0
"There were 39 students that got on the bus at the first stop. If 29 more students got on the bus at the second stop, how many students are riding the bus?",1,0,0,0
Buddy met 57 girl students and 66 boy students on his first day of fourth grade. How many students did Buddy meet?,1,0,0,0
"If Budy met 14 second grade students, 10 fourth grade students and 16 fifth grade students at recess, how many students in total did Buddy meet?",1,0,0,0
"Down at the gym, all the students were divided into 2 groups. If one group has 34 members and the other has 37, how many students are in the gym class?",1,0,0,0
"On his bus ride home, Margaret counted 36 students sitting on the left side of the bus and 27 sitting on the right. Write an equation which shows how many students are on the bus ride home.",1,0,0,0
Rachel climbed 567 flights of stairs going up and 325 going down at the Eiffle Tower. What is the total number of steps that she took?,1,0,0,0
"If the caravan travelled 451 miles by land and 150 miles by sea across the English Channel and it took them 23 hours, what is the total distance that they travelled?",1,0,0,0
"If she ate 276 grams of bacon and 147 grams of sausages, how much food did she eat in grams?",1,0,0,0
"Rachel learned that 583 visitors came to the Empire State Building that day. If there were 246 visitors the previous day, how many visited the building within 2 days?",1,0,0,0
"During Rachel's stay there, she ate 598 grams of pizza and her sister ate 354. They each also drank 400 ml of water. How many grams of pizza did Rachel and Bella eat in Naples?",1,0,0,0
"Over 300 kids came to the Christmas event. If Santa gave 134 cars to the boys and 269 dolls to the girls, how many toys did he give in all?",1,0,0,0
Chad handed out 472 boxes of vitamins and 288 boxes of supplements at the nursing home. How many boxes did the nursing home receive from Chad?,1,0,0,0
Mr. Anderson gave 589 shirts and 345 trousers to 700 different people. How many pieces of clothing did he give out in total?,1,0,0,0
"If the homeless shelter fed 219 men and 328 women on Monday, how many people did they feed in total?",1,0,0,0
"If there are 645 cats and 567 dogs, then how many animals are there in the shelter?",1,0,0,0
"If the scientists counted 318 beavers and 544 spiders on their trip to the forest, how many animals in total did they see?",1,0,0,0
"On the hike, Mike counted 413 red ants and 487 black ants. How many ants did Mike see altogether?",1,0,0,0
"If the first half of the building, there are 145 stories and in the second half, there are 255 stories. How many stories does the building have?",1,0,0,0
"From the hotel, David walked 234 steps to the nearest restaurant and then another 378 steps to Central Park. How many steps did he take to get to Central Park from the hotel?",1,0,0,0
It took him 676 steps to get to street level and 315 steps from there to Madison Square Garden. How many steps in total did he take to get to Madison Square Gardens? ,1,0,0,0
"Next on Dan's travel list is the famous Empire State Building, which has 102 floors! The building stands 1,250 feet to the top floor and the antenna spire is 204 feet. How tall is the Empire State Building?",1,0,0,0
Johnny walked through 50 rooms and saw 465 pieces of Asian art and 527 pieces of Egyptian art. How many pieces of art did he see? ,1,0,0,0
Tomas took 354 steps to the Rockefeller Center and then 228 steps to Times Square. How many steps did he take before reaching Times Square?,1,0,0,0
"If 383 students said that they liked the cafeteria food and 431 students said they didn’t, how many students participated in the survey?",1,0,0,0
"If 337 students voted to add more veggies to the menu and 335 voted to add more meat, how many students voted?",1,0,0,0
"Since the result of the vote was close, it was decided that they will balance the menu with both meat and vegetables. This decision was agreed upon by 154 third grade students and 237 fourth grade students. How many students agreed with the decision? ",1,0,0,0
"If 279 students suggested adding mashed potatoes while 234 suggested adding bacon to the menu, how many students participated in the suggestion of new food items?",1,0,0,0
"During the first week, the homeless shelter received 12 boxes of canned soup and 36 boxes of crackers. During the second week, they received 25 boxes of canned soup and 24 boxes of crackers. How many boxes of crackers did they receive in total?",1,0,0,0
The restaraunt had 40 boxes of pasta sauce in storage and received 47 more boxes last month. How many boxes of pasta sauce do they have now?,1,0,0,0
"In the storage room, there are 16 boxes of corn flakes. There were 19 more boxes of cheerios than corn flakes. How many boxes of cheerios are there?",1,0,0,0
"The local food bank opened 18 days in January and 21 days in February. If it will be opened for 15 days in March, how many days is it open in these three months?",1,0,0,0
"There are 6 passengers in first class, 11 passengers in the business class and 80 passengers in the economy class. How many passengers are on the plane?",1,0,0,0
"The catering staff prepared 50 trays of standard meals, 14 trays of vegetarian meals and 7 trays of kids’ meals. How many trays of meals were prepared?",1,0,0,0
"The flight attendant fills the catering cart with 67 cans of soda, 25 cans of juice and 15 boxes of cookies. How many cans of drinks are there?",1,0,0,0
"The first show on Sunday is at 11 a.m. The first cashier sold 28 tickets and second cashier sold 13 tickets. Together with the 41 tickets sold online, how many tickets were sold?",1,0,0,0
There are 42 cups of popcorn in the first popcorn machine and 36 cups of popcorn in the second popcorn machine. There are 20 empty popcorn cups. How many cups of popcorn are there in total?,1,0,0,0
"At the soda dispenser, there are 31 large paper cups, 23 medium paper cups and 12 small paper cups. How many paper cups are there in total?",1,0,0,0
Lucy bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?,1,0,0,0
"Roden bought 15 gold fish, 7 blue fish and 3 packages of fish food. How many fish did he buy?",1,0,0,0
"I read 21 pages of my English book yesterday in just 45 minutes. Today, I read 117 pages. What is the total number of pages that I read?",1,0,0,0
"In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",1,0,0,0
Linda has 34 candies and Chloe has 128. How many candies do they have together?,1,0,0,0
Jose has 28 chickens and 18 ducks. How many fowls does he have?,1,0,0,0
Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,1,0,0,0
Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. He also gathered 14 pieces of driftwood. How many shells did he pick up in all?,1,0,0,0
There were 105 parents in the program and 698 students. How many people were present in the program?,1,0,0,0
"Last Saturday, Marie sold 425 magazines, 275 newspapers and 14 books. What is the total number of items she sold?",1,0,0,0
There are 4 birds on the fence. 12 more birds land on the fence. How many birds are on the fence?,1,0,0,0
"22 boys went down the slide in the morning. In the afternoon, 99 more boys and 1 girl went down the slide. How many kids went down the slide today?",1,0,0,0
72 ducks are swimming in a lake. 55 more ducks and 38 crows come to join them. How many ducks are swimming in the lake?,1,0,0,0
40 dogs are barking. 64 more dogs start to bark. Then 100 more dogs start barking. How many dogs are barking?,1,0,0,0
Sandy had 126 pet fish. She bought 6 more fish. How many pet fish does Sandy have now?,1,0,0,0
Our class borrowed 54 books from the library. Then we borrowed 23 more books from the library. How many books did our class borrow from the library?,1,0,0,0
Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday and 3 kids on Wednesday. How many kids did she play with altogether?,1,0,0,0
James ate 20 carrot sticks before dinner and 10 more after dinner. He also had 6 celery sticks. How many carrot sticks did he eat?,1,0,0,0
Charles found 116 pennies on his way to school. He already has 142 pennies at home. How many pennies does he now have in all?,1,0,0,0
"Jovana filled her bucket with 115 pounds of shells. If she adds 112 more pounds of shell to fill her bucket, how many pounds does she have?",1,0,0,0
"Lilly filled her bucket with 95 pounds of shells. If a friend comes to add 15 pounds of shells, and another friend comes to add 17 pounds of shells, how many pounds does she have altogether?",1,0,0,0
Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats and 2 dogs. How many cats does Mrs. Sheridan have altogether?,1,0,0,0
Mrs. Sheridan has 22 fish. Her sister gave her 2 birds and 47 more fish. How many fish does she have now?,1,0,0,0
Rosa ends a game with 600 points. Tyler has 200 more points than Rosa. How many points does Tyler have?,1,0,0,0
"In an hour’s time, Leah can make 12 greeting cards. Steven can make 9 cards in the same amount of time. Together, about how many cards can they make?",1,0,0,0
"Last week, Ms. Llamas spent $62 for gas and $85 for repairs on her car. About how much did she spend on her car?",1,0,0,0
"The head and body of Chan’s favorite dinosaur is 36 feet long, and the tail is 19 feet long. In all, how long is the entire dinosaur?",1,0,0,0
Kayla has 27 horse pictures and 12 pictures of bears. How many pictures does she have?,1,0,0,0
This week the school store sold 39 pencils and 12 folders. About how many pencils and folders did the school store sell this week?,1,0,0,0
"For a family picnic, Javier bought 18 peaches, and his sister bought 24 apples. How many pieces of fruit did they buy?",1,0,0,0
Alondra’s science class planted 29 zinnia seeds and 31 marigold seeds. What is the total number of seeds they planted?,1,0,0,0
"Samantha opened her piggy bank and found 75 cents inside. If she has 8 cents in her pocket, how much money does she have?",1,0,0,0
Alanzo wants to buy a basketball that costs $15 and a T-shirt that costs $14. How much will he spend in all? ,1,0,0,0
There are 15 cards in one box and 64 cards in another box. How many cards are there in all? ,1,0,0,0
There are 31 students in Miss Strom’s class and 27 students in Miss Wilson’s class. About how many students are there in all?,1,0,0,0
Delmar’s school collected $47 from Mrs. Johnson’s class and $52 from Mr. King’s class. How much money did Delmar's school collect in all?,1,0,0,0
"In one aquarium, there are 22 minnows. In another aquarium, there are 27 snails. About how many pond animals are there?",1,0,0,0
"For a PTA meeting at the Parkvale Elementary School, the principal has ordered 215 muffins and 155 bagels. How many muffins and bagels were there in all?",1,0,0,0
"In February, Lucinda read a book that was 98 pages long. In March, she read a book that was 124 pages long. How many pages did she read in February and March?",1,0,0,0
Miranda’s sunflower plants grew 27 inches in the first month and 37 inches the second month. How tall were Miranda’s sunflowers after two months? ,1,0,0,0
"At Cliffside Park, there are 121 maple trees and 382 oak trees. How many trees are in the park?",1,0,0,0
Rachel is running in a cross-country race. She bought running shorts for $29.13 and running shoes for $42.93. How much did she spend?,1,0,0,0
"Last year, Jake cleaned his room for 3,120 minutes and mowed the lawn for 305 minutes. How long did he work?",1,0,0,0
Tony’s Garden Supplies sells $525 worth of plants. The store also sells $234 worth of supplies. How much money does the store make in all?,1,0,0,0
"Omar collected 8 cans of food on Monday, 4 cans of food on Tuesday, and 1 can of food on Thursday. How many cans did he collect in all?",1,0,0,0
"Christine has 59 plastic dolls, 48 rubber bugs, 17 pairs of shoes, and 13 cloth dolls. How many total dolls does she have?",1,0,0,0
"Jacqui and Stan are building a table. The table requires 5 pieces of wood for the top, 2 pieces of wood for the sides, and 6 pieces of wood for the rest. How many pieces of wood do they need? ",1,0,0,0
Heather chooses 6 red balloons for a party. Her brother chooses 4 yellow balloons and her mother adds 6 blue ones. How many balloons will they have for the party?,1,0,0,0
"Imogen baked 12 cinnamon rolls yesterday. Today, she decided to bake 20 chocolate chip cookies. How many baked goods did she bake in total?",1,0,0,0
"Katie received 50 pairs of socks from her father, 2 blue blouses from her mother, and 1 black dress from her sister. How much clothing did she get?",1,0,0,0
"Carl ate 1 red berry, 2 orange berries, 3 yellow berries, 4 green berries, 5 blue berries, 6 purple berries, 7 brown berries, 8 white berries, 9 black berries, 10 gray berries. What is the total number of berries Carl ate?",1,0,0,0
Tom Bradley cooked 19 pizza tacos for lunch and 5 kimchi tacos for dinner. Find the total number of tacos he ate.,1,0,0,0
"Sammy harvested 13 grams of wheat. At the other farm, Gregory harvested 15 pounds of wheat. How much wheat did they harvest in total?",1,0,0,0
She wants 2 orders of original soft serve and 5 orders of strawberry soft serve. How many soft serve orders did she buy?,1,0,0,0
Wesley sold 15 cans of pepsi to his friend. He also sold 12 cans of fanta and 55 cans of mountain dew. How many cans did he sell in total?,1,0,0,0
"A school bus made a stop and 18 children got off the bus. However, 1 child stayed on. How many children were on the bus just before the stop?",1,0,0,0
"Last year, Dale fed his dog 21 peanut butter treats and 7 carrot treats. How many treats did Dale feed his dog last year?",1,0,0,0
Harper picked up 21 of her brother's toys and 6 of her sister's toys. How many toys did Harper pick up?,1,0,0,0
"Harper jumped on the couch 55 times, and her friend Rob jumped on it 7 times. How many times did they jump on the couch in total?",1,0,0,0
"There were 2 red pushpins, 43 blue pushpins, 9 yellow pushpins, and 2 green pushpins in the supply closet. How many pushpins were there in all?",1,0,0,0
"The clock store down the street from Kimi's apartment has 4 wooden clocks, 54 metal clocks, 26 glass clocks, and 1 plastic clock. How many clocks does the store have in all?",1,0,0,0
1 girl and 7 boys from her class came to Philip's birthday. Find the total number of children that came to Philip's birthday.,1,0,0,0
A cook fed 848 adults and 96 children at a banquet. What is the total number of people he fed that day?,1,0,0,0
Laura has 8 marbles. Dennis gives Laura 3 more. How many marbles does Laura have in all?,1,0,0,0
Jesse has 7 candies. Ernest gives Jesse 7 more. How many candies does Jesse have in all?,1,0,0,0
"Beverly has 6 oranges. Antonio has 3 oranges. If Antonio gives all of his oranges to Beverly, how many oranges will Beverly have?",1,0,0,0
"Walter has 2 blocks. Kathryn has 9 blocks.If Kathryn gives all of her blocks to Walter, how many blocks will Walter have?",1,0,0,0
"If there are 4 crayons in a box and Albert puts 9 more crayons inside, how many crayons are in the box?",1,0,0,0
Donald starts with 3 tickets. He gets 5 more from Maria. How many tickets does Donald end with?,1,0,0,0
Nancy collects 2 erasers. Nancy's fathergives Nancy 7 more. How many erasers does Nancy have?,1,0,0,0
"Sara has 9 eggs. Carolyn has 2 eggs. If Carolyn gives all of her eggs to Sara, how many eggs will Sara have?",1,0,0,0
There are 7 blocks. 8 blocks more are added. How many are there total?,1,0,0,0
"Annie has 9 bottle caps. Terry has 9 bottle caps. If Terry gives all of his bottle caps to Annie, how many bottle caps will Annie have?",1,0,0,0
There are 8 erasers. 5 erasers more are added. How many are there total?,1,0,0,0
"If there are 4 crayons in a box and Albert puts 9 more crayons inside, how many crayons are in the box?",1,0,0,0
"Roger has 4 erasers. Deborah has 2 erasers. If Deborah gives all of her erasers to Roger, how many erasers will Roger have?",1,0,0,0
Mark starts with 2 stickers. He buys 2 more. How many stickers does Mark end with?,1,0,0,0
Steven starts with 3 oranges. He buys 7 more. How many oranges does Steven end with?,1,0,0,0
"If there are 8 marbles in a box and Kathryn puts 7 more marbles inside, how many marbles are in the box?",1,0,0,0
Cheryl has 2 oranges. She finds another 4. How many oranges does Cheryl have in all?,1,0,0,0
Sandra has 6 erasers. She buys 6 more. How many erasers does Sandra have in all?,1,0,0,0
Judith collects 7 bottle caps. Judith's father gives Judith 3 more. How many bottle caps does Judith have?,1,0,0,0
Christopher has 56 blocks. He buys 8 more.How many blocks does Christopher have in all?,1,0,0,0
There are 4 marbles. 6 marbles more are added. How many are there total?,1,0,0,0
"If there are 71 blocks in a box and Dorothy puts 9 more blocks inside, how many blocks are in the box?",1,0,0,0
There are 3 bottle caps. 22 bottle caps more are added. How many are there total?,1,0,0,0
"If there are 3 apples in a box and Melissa puts 73 more apples inside, how many apples are in the box?",1,0,0,0
"Pamela has 13 eggs. Rebecca has 4 eggs. If Rebecca gives all of her eggs to Pamela,how many eggs will Pamela have?",1,0,0,0
"If there are 3 Skittles in a box and Irene puts 59 more Skittles inside, how many Skittles are in the box?",1,0,0,0
Harold has 2 eggs. He buys 3 more. How many eggs does Harold have in all?,1,0,0,0
There are 50 apples. 7 apples more are added. How many are there total?,1,0,0,0
There are 7 oranges. 46 oranges more are added. How many are there total?,1,0,0,0
"If there are 7 erasers in a box and Daniel puts 51 more erasers inside, how many erasers are in the box?",1,0,0,0
"If there are 2 marbles in a box and Billy puts 40 more marbles inside, how many marbles are in the box?",1,0,0,0
Debra starts with 7 erasers. Andrew gives Debra 69 more. How many erasers does Debra end with?,1,0,0,0
"If there are 43 bananas in a box and Catherine puts 4 more bananas inside, how many bananas are in the box?",1,0,0,0
"Lois has 38 bottle caps. Shawn has 6 bottle caps. If Shawn gives all of his bottle caps to Lois, how many bottle caps will Lois have?",1,0,0,0
"Nathan has 6 marbles. Joshua has 47 marbles. If Joshua gives all of his marbles to Nathan, how many marbles will Nathan have?",1,0,0,0
Ronald collects 5 oranges. Ronald's father gives Ronald 14 more. How many oranges does Ronald have?,1,0,0,0
There are 6 bottle caps. 33 bottle caps more are added. How many are there total?,1,0,0,0
Lori has 96 erasers. She gets 6 more from Jean. How many erasers does Lori have in all?,1,0,0,0
"Jose has 58 stickers. Wayne has 3 stickers. If Wayne gives all of his stickers to Jose, how many stickers will Jose have?",1,0,0,0
Joe starts with 29 eggs. He finds another 39. How many eggs does Joe end with?,1,0,0,0
"Louise has 52 stickers. Judith has 89 stickers. If Judith gives all of her stickers to Louise, how many stickers will Louise have?",1,0,0,0
"If there are 56 pencils in a box and Annie puts 88 more pencils inside, how many pencils are in the box?",1,0,0,0
There are 41 eggs. 99 eggs more are added. How many are there total?,1,0,0,0
"If there are 37 stickers in a box and James puts 50 more stickers inside, how many stickers are in the box?",1,0,0,0
Aaron collects 18 eggs. Aaron's father gives Aaron 59 more. How many eggs does Aaron have?,1,0,0,0
Pamela collects 49 tickets. Pamela's father gives Pamela 77 more. How many tickets does Pamela have?,1,0,0,0
Lori starts with 88 blocks. She gets 45 more from Julie. How many blocks does Lori end with?,1,0,0,0
Patrick has 62 eggs. He finds another 51.How many eggs does Patrick have in all?,1,0,0,0
Clarence has 68 crayons. He buys 95 more.How many crayons does Clarence have in all?,1,0,0,0
Sandra starts with 96 marbles. Martin gives Sandra 6 more. How many marbles does Sandra end with?,1,0,0,0
"Billy has 86 oranges. Gerald has 9 oranges. If Gerald gives all of his oranges to Billy, how many oranges will Billy have?",1,0,0,0
Jeremy has 8 marbles. Ralph gives Jeremy 16 more. How many marbles does Jeremy have in all?,1,0,0,0
Justin has 76 cards. Craig gives Justin 8 more. How many cards does Justin have in all?,1,0,0,0
Sharon starts with 6 cards. Benjamin gives Sharon 38 more. How many cards does Sharon end with?,1,0,0,0
"If there are 59 erasers in a box and Matthew puts 99 more erasers inside, how many erasers are in the box?",1,0,0,0
Benjamin has 27 erasers. He gets 97 more from Denise. How many erasers does Benjamin have in all?,1,0,0,0
"Diana has 14 candies. John has 50 candies.If John gives all of his candies to Diana, how many candies will Diana have?",1,0,0,0
"If there are 78 erasers in a box and Judith puts 33 more erasers inside, how many erasers are in the box?",1,0,0,0
Irene has 75 candies. She finds another 90. How many candies does Irene have in all?,1,0,0,0
Mark has 81 Skittles. Paula gives Mark 30 more. How many Skittles does Mark have in all?,1,0,0,0
"If there are 42 candies in a box and Steve puts 54 more candies inside, how many candies are in the box?",1,0,0,0
"Jessica has 86 blocks. Andrew has 82 blocks. If Andrew gives all of his blocks to Jessica, how many blocks will Jessica have?",1,0,0,0
Kathleen starts with 45 crayons. Christine gives Kathleen 19 more. How many crayons does Kathleen end with?,1,0,0,0
Kenneth starts with 30 stickers. He gets 31 more from Lisa. How many stickers does Kenneth end with?,1,0,0,0
"Henry has 44 erasers. Ruth has 4 erasers. If Ruth gives all of her erasers to Henry, how many erasers will Henry have?",1,0,0,0
Christine has 9 peanuts. Sandra gives Christine 20 more. How many peanuts does Christine have in all?,1,0,0,0
"Lillian has 3 blocks. Dennis has 98 blocks. If Dennis gives all of his blocks to Lillian, how many blocks will Lillian have?",1,0,0,0
Roger starts with 35 erasers. Alan gives Roger 4 more. How many erasers does Roger end with?,1,0,0,0
"Fred has 5 peanuts. Marie has 98 peanuts. If Marie gives all of her peanuts to Fred, how many peanuts will Fred have?",1,0,0,0
"Sally found 72 seashells, Benny found 41 seashells, and Tim found 10 seashells on the beach. How many seashells did they find together?",1,0,0,0
"Sally has 31 yellow balloons, Melanie has 25 yellow balloons, and Joan has 85 yellow balloons. How many yellow balloons do they have in all?",1,0,0,0
"Benny picked 39 lemons, Dan picked 46 lemons, and Mike picked 36 lemons and 29 pears, at the farm. How many lemons were picked in total?",1,0,0,0
Nancy had 30 baseball cards. Fred gave her 33 new baseball cards. Nancy bought 21 baseball cards. How many baseball cards does Nancy have now?,1,0,0,0
There are 28 scissors in the drawer and 36 scissors on the desk. Jason placed 32 scissors and 15 crayons on the desk. How many scissors are now there?,1,0,0,0
"Keith grew 39 turnips, Jason grew 26 turnips, and Tim grew 44 turnips. They worked for 42 days on the farm. How many turnips did they grow in total?",1,0,0,0
There are 14 dogwood trees currently in the park. Park workers will plant 18 more dogwood trees today and 20 more dogwood trees tomorrow. How many dogwood trees will the park have when the workers are finished ?,1,0,0,0
Tim had 10 dimes and 27 quarters in his bank. His dad gave him 1 quarter and his mother gave him 4 quarters. How many quarters does Tim have now?,1,0,0,0
Joan has 32 books and she has read 5 of them. Tom has 26 books and Jason has 24 books. How many books do they have together?,1,0,0,0
"Alyssa went to 15 hockey games this month. She went to 14 games last month, and plans to go to 19 games next month. How many games will she attend in all?",1,0,0,0
Sam went to 8 football games this year. He went to 6 games last year. How many football games did Sam go to?,1,0,0,0
Jason has 7 black marbles Nancy has 8 black marbles. How many black marbles do they have in total?,1,0,0,0
"Alyssa found 4 seashells and Joan found 8 seashells on the beach. When they cleaned them, they discovered that 7 were cracked. How many seashells did they find together?",1,0,0,0
There are 9 crayons in the drawer. Mary placed 7 more crayons in the drawer. How many crayons are now there in all? ,1,0,0,0
Melanie picked 2 plums and Jason picked 5 plums from the plum tree. Tom picked 6 lemons from the lemon tree. How many plums were picked in all?,1,0,0,0
There are 3 pine trees and 9 poplar trees currently in the park. Park workers will plant 7 more pine trees today. How many pine trees will the park have when the workers are finished?,1,0,0,0
Tom's dog had puppies and 9 had spots. He gave 8 to his friends. He now has 6 puppies left. How many puppies did he have to start with?,1,0,0,0
Jessica had 2 dimes in her bank. Her dad gave her 7 more dimes. How many dimes does Jessica have now?,1,0,0,0
A restaurant served 8 pizzas during lunch and 3 during dinner today. How many pizzas were served today?,1,0,0,0
Sara grew 92 watermelons and 25 cantaloupes. Jason grew 3 watermelons. How many watermelons did they grow in all?,1,0,0,0
"Dan went to 55 football games this year, but missed 145. He went to 37 games last year. How many football games did Dan go to in total?",1,0,0,0
Mike has 48 books. Fred has 59 books. How many books do they have together?,1,0,0,0
Dan grew 20 watermelons. Tim grew 27 watermelons. How many watermelons did they grow in all?,1,0,0,0
Tom picked 27 oranges and Keith picked 49 oranges. Mary picked 36 lemons. How many oranges were picked in all?,1,0,0,0
There are 10 pencils and 31 scissors in the drawer. Alyssa placed 37 more pencils in the drawer. How many pencils are now there in all?,1,0,0,0
There are 77 dogwood trees currently in the park. Park workers will plant 17 more dogwood trees today. How many dogwood trees will the park have when the workers are finished?,1,0,0,0
Dan has 31 green marbles Mike has 25 green marbles. How many green marbles do they have in all?,1,0,0,0
Mary found 67 seashells and Nancy found 24 seashells on the beach. How many seashells did they find together? ,1,0,0,0
"Sam had 18 baseball cards, and 7 were torn. Alyssa gave Sam 15 new baseball cards. How many baseball cards does Sam have now?",1,0,0,0
Keith had 24 quarters and 22 nickels in his bank. His dad gave him 33 nickels and 44 pennies. How many nickels does he have now?,1,0,0,0
